Title,Employer,Posting URL,Application Deadline,Published Date,Start Date,Hours per Week,Salary,Education Required,Experience Required,Location,Tags,Description,Contact Name,Contact Email
"Ph.D. in Forest and Fire Ecology (Auburn University, The Jones Center at Ichauway)",The Jones Center at Ichauway (Private),https://jobs.rwfm.tamu.edu/view-job/?id=103733,02/28/2025,02/06/2025,8/1/2025,40,"$25,000 per year",Bachelors,none,"Auburn University (Alabama)
The Jones Center at Ichauway (Newton, GA, Georgia)",Graduate Opportunities,"Please see full annoucement: at 

A PhD research assistantship is available with Dr. Heather Alexander (Forest and Fire Ecology Lab, College of Forestry, Wildlife and Environment at Auburn University) and Dr. Jeffery Cannon (Landscape Ecology Lab, Jones Center at Ichauway). The successful applicant will conduct extensive field research investigating spatial drivers of fire behavior in relation to seedling and sapling oak individuals that manage to persist in longleaf pine ecosystems despite restoration of repeated fires. The research will combine field intensive fuel, fire behavior, and regeneration data collection, mapping and processing, and capitalizing on existing and new data from the Ichauway Forest Dynamics Plot at the Jones Center, a 28,500-acre research facility and preserve in southwestern Georgia. The student will be appointed as a Graduate Research Assistant (GRA) but will assist with teaching undergraduate courses in Forest Fire Management and Forest Ecology. Although an PhD student at Auburn University, the student’s work will be co-sponsored by the Jones Center at Ichauway, and much of the field work will take place in Georgia and other research sites throughout the eastern U.S. The student will be expected to spend time in residence at the Jones Center for field data collection where housing may be provided, and remaining portions of the academic year on the Auburn campus while completing coursework. 

 Required Qualifications: Applicants must have a Bachelor's degree in ecology, environmental sciences, forestry, wildlife sciences, environmental engineering, geography, geospatial science, or a related field. Applicants must: 1) be capable of working long hours outdoors exposed to harsh weather, biting insects, and thorny vegetation, 2) have demonstrated experience with data analysis using R, SAS, JMP, SPSS, and/or other statistical software, scientific writing for publication in peer-reviewed journals, and professional presentations to the scientific community, land managers, and landowners, 3) be a team player willing to mentor others and assist with lab members’ research when needed, 4) at the time of employment, must possess a current driver's license valid in the U.S. and be able to drive a University state vehicle, which requires 2 years of driving experience, and a 4WD truck on both highways and dirt roads, 5) conduct ecological research creatively and independently, with guidance from mentors, 6) ability to travel out of state and country for overnight stays related to fieldwork and conference attendance, 7) ability to act creatively, confidently, and professionally when working with people from diverse educational and professional backgrounds. The successful candidate must meet eligibility requirements for work in the U.S. at the time the appointment is scheduled to begin and continue working legally for the term of employment.

Preferred Qualifications: A M.S. degree in ecology, environmental sciences, forestry, wildlife sciences, environmental engineering, geography, geospatial science or a related field. 

If interested, please email to Dr. Heather Alexander (heather.alexander@auburn.edu) and Dr. Jeffery Cannon (Jeffery.cannon@jonesctr.org) (1) a cover letter discussing interest in our research, qualifications, and applicable background experience; (2) a resume/CV; (3) unofficial transcripts, (4) contact information for three professional references, and (5) a writing sample. Details on the full application process to the Auburn Graduate School can be found at http://graduate.auburn.edu/prospective-students/application-instructions/. Additional information on the Landscape Ecology Lab and the Jones Center can be found at https://lab.jonesctr.org/cannon/. Financial support is available for four years, starting in fall 2025, and includes a stipend ($25,000/year) and tuition waiver. Review of applications will begin Friday, February 28, 2025, and followed up with virtual interviews.

Auburn University is an EEO/Vet/Disability Employer and committed to building an inclusive and diverse community. Women and minorities are encouraged to apply for this position.",Not provided,heather.alexander@auburn.edu
"Ph.D. and M.S. Opportunities, Fisheries Ecology Lab",Dauphin Island Sea Lab (State),https://jobs.rwfm.tamu.edu/view-job/?id=102728,02/15/2025,01/17/2025,after 8/1/2025,at least 20,"$21,600 to $24,600 per year",Bachelors,none,"dauphin island sea lab (Dauphin Island, Alabama)
university of south alabama (Alabama)",Graduate Opportunities,"The Fisheries Ecology Lab led by Dr. Sean Powers of the Stokes School of Marine and Environmental Sciences at the University of South Alabama (USA) has opportunities for qualified students who want to advance their education in marine fisheries sciences. The Fisheries Ecology Lab conducts basic and applied research on fisheries species in inshore and offshore areas (inshore sportfish to offshore reef fish and pelagics).

USA and the Dauphin Island Sea Lab have an international reputation in graduating talented and highly competitive graduate students.

The lab offers graduate assistantships for highly competitive students seeking Ph.D.’s. All Ph.D. assistantships offer competitive pay ($21,600 - $24,600), student health insurance and tuition remission.

Opportunities are also available for M.S. seeking students on projects as internships or assistantships.

Interested students are encouraged to contact Sean Powers and apply by February 15, 2025 for full consideration.

Students may be based in newly renovated facilities on USA campus in Mobile or at the Dauphin Island Sea Lab. Students should contact advisors as soon as possible to attend a recruitment weekend during the first weekend in February.

Click here for the application link.",Not provided,Sean Powers
Funded Ph.D. Opportunity on Salt Marsh Migration Research,"Graduate School of Oceanography, University of Rhode Island (State)",https://jobs.rwfm.tamu.edu/view-job/?id=101356,04/15/2025,12/17/2024,after 9/1/2025,20 - 40,Commensurate / Negotiable,Masters,at least 2 years,"Graduate School of Oceanography (Narragansett, Rhode Island)",Graduate Opportunities,"Funded Ph.D. Opportunity on Salt Marsh Migration Research

Looking for a student interested in pursuing a Ph.D. focused on salt marsh migration and involving field research at several locations in the northeast U.S.  The doctoral research position will be in the Graduate School of Oceanography Ph.D. program at the University of Rhode Island and begin in Fall 2025.

Required:  (all three are required; other applicants will not be considered)
1) MS in natural science, geography or engineering
2) Experience (and ideally publications) in salt marsh migration research3) Must have significant relevant field experience and love getting muddy.
4) Happy to work with a team and also able to work independently

Preferred:
- Ecology and/or sedimentology background
- GIS and remote-sensing (e.g., drone) skills
- Knowledge of northeast U.S. salt marsh systems, research, restorations and related regulations
- Experience with community engagement and/or coastal management.

Please contact Dr. J.P. Walsh for more details or with interest in the position:  jpwalsh@uri.edu",Not provided,jpwalsh@uri.edu
Continuing Education - Master's degrees for Natural Resources Professionals,Frostburg State University (State),https://jobs.rwfm.tamu.edu/view-job/?id=102821,08/01/2025,01/17/2025,between 8/11/2025 and 8/25/2025,6 - 20,"starting at $2,500 per year",Bachelors,at least 1 year,"Frostburg State University (Frostburg, Maryland)",Graduate Opportunities,"Continuing Education Leading to a Master's of Science for  Natural Resource Professionals
Department of Biology, Frostburg State University

The Department of Biology at Frostburg State University (FSU) is excited to announce Graduate Student Recruitment Scholarships for local/regional natural resource professionals! These scholarships are designed to support individuals employed in parks, wildlife management, and conservation agencies who are seeking to advance their careers with a graduate degree.

FSU’s Applied Ecology & Conservation Biology and Wildlife & Fisheries Biology programs are uniquely positioned as Maryland’s only graduate programs in these fields, offering unparalleled opportunities for professional and academic growth.

Program Overview:
We are accepting up to 8 individuals into our graduate programs for part-time enrollment (6 credits per semester) to complete a Master’s degree within 3 years.

This program targets professionals in the natural resources field who:
Will not require tuition remission but can benefit from a yearly scholarship of $2,500 for up to 3 years.
Are at least half-time employees of state, federal, or NGO agencies that reimburse tuition.

Additional Highlights:
There is no teaching requirement for participants.
Students are encouraged to complete a thesis project related to ongoing work with their respective agencies or on emerging topics in applied ecology and conservation biology.

Program Benefits:
Career Advancement: Earn advanced credentials to enhance professional growth while maintaining your current employment.
Flexibility: Designed for working professionals with part-time enrollment (minimum of 6 credit hours/semester).
Financial Support: Reduce the cost of graduate education while balancing work and study.
Enhanced Workforce Development: Strengthen regional natural resource management through advanced education.

How to Apply:
Connect with Faculty: Contact faculty in the Department of Biology to discuss your interests and confirm mentorship availability. Be prepared to share transcripts and GRE scores (if you have them).

Employment Verification: Provide proof of a permanent position within an agency and contact information for supervisors to confirm part-time employment.

Submit Your Application: Complete the online application through FSU Graduate Admissions. Ensure you meet all admission requirements, including transcripts, and reference contact information.

Applications for Fall 2025 will be reviewed starting March 1st, 2025.

Contact Information:
Dr. Kumudini Munasinghe
Graduate Coordinator | Associate Professor
kamunasinghe(AT)frostburg.edu

Dr. Kate Sheehan
Wildlife Parasitologist | Assistant Professor
klsheehan(AT)frostburg.edu

Join us to elevate your career in natural resource management while making a tangible impact on the environment and your community!",Not provided,klsheehan@frostburg.edu
Now Accepting Applications! Master of Wildlife and Fisheries Resources Program,Clemson University (State),https://jobs.rwfm.tamu.edu/view-job/?id=90323,02/28/2025,11/20/2024,after 1/1/2025,at least 8,none,Bachelors,none,remote work allowed,Graduate Opportunities,"Clemson University is currently accepting applications for Summer 2025 for the Online Non-thesis, Masters in Wildlife and Fisheries Resources Program (MWFR). Admission guidelines and link to graduate admissions can be found on our website (https://www.clemson.edu/cafls/academics/graduate/master-of-wildlife-and-fisheries-resources.html). The deadline to apply for Summer 2025 is February 28th.

The program invites applications from international students. However, prospective international applicants should note since this program is 100% delivered online/via distance education, the university is prohibited by US federal regulations from issuing Certificates of Eligibility (I-20s or DS-2019s) | for this program for purposes of applying for F-1 or J-1 visas. International students possessing another immigration status should consult with the appropriate authority/advisor to ensure activity as a student is allowable by the regulations governing their current immigration status.

Students enrolled in this program are not generally eligible for graduate assistantships.",Not provided,tbecker@clemson.edu
Master Naturalist,Swan Valley Connections (Private),https://jobs.rwfm.tamu.edu/view-job/?id=99147,08/16/2025,11/12/2024,after 8/16/2025,at least 40,none,none,none,"Condon, Montana","Graduate Opportunities
Undergraduate Opportunities","The Montana Master Naturalist Program is designed for people who want to stoke their curiosity, deepen their knowledge of the natural world, and give back to their communities in new ways. We hope that participants will not only build the skills to interpret Montana’s flora, fauna, and landscape, but that they will also gain a deeper understanding and appreciation for the natural world, and therefore become better stewards of it. This program is an excellent certification for those looking to pursue a career in environmental education or interpretive guiding, or those just looking to enhance their connection to place. During six days of experiential, field-based education, participants learn to identify species, interpret behaviors, and affirm ecological relationships. This foundational, applied knowledge not only enriches a sense of place, but also builds the confidence, attention, and curiosity to respect and conserve diverse ecosystems.",Not provided,taylor@svconnections.org
Environmental Education and Science Communication Fellows - Masters Degree,University of Idaho - McCall Outdoor Science School (State),https://jobs.rwfm.tamu.edu/view-job/?id=103473,08/01/2025,01/31/2025,between 8/12/2025 and 8/13/2025,30 - 50,none,Bachelors,none,"McCall, Idaho",Graduate Opportunities,"Fellows in Environmental Education and Science Communication - Masters Degree
 This 10.5-month position includes free housing and financial support.  
  The University of Idaho fellows in Environmental Education and Science Communication earn a Master of Natural Resources through a unique combination of academic theory and hands-on practice. Living at the scenic McCall Field Campus, grads develop an array of professional skills and expertise. Applied coursework and targeted study in science communication, leadership, place-based education, and ecology, give grads what they need to earn a degree, make a difference, and find their place.  NOTE: we are unable to accept international students into the program at this time.  
 Grads in Environmental Education and Science Communication can expect to: 
-  Experience learning in new ways by taking experiential coursework in ecology, science communication, place-based education, and leadership. 
-  Gain instructional skills as a part of a mentored teaching practicum through our award-winning  McCall Outdoor Science School (www.uidaho.edu/moss) 
-  Build interdisciplinary thinking skills to address the world’s complex socio-ecological issues. 
-  Enjoy a 1:8 faculty to graduate student ratio that ensures a student-centered approach to learning. 
-  Participate in a supportive, community-based, learning experience that prepares students for a wide range of professions. 
-  Take part in a once-in-a-lifetime trip into the Taylor Wilderness Research Station located in the heart of the Frank Church/River of No Return Wilderness. 
  Learn more at https://www.uidaho.edu/cnr/gradschool-redefined or contact our recruiting team at cnr-mnr-eesc@uidaho.edu. Applications are accepted on a rolling basis for positions starting in the fall of 2025.",Not provided,cnr-mnr-eesc@uidaho.edu
Master of Science in Integrative Biology,Kennesaw State University (State),https://jobs.rwfm.tamu.edu/view-job/?id=103253,03/01/2025,01/29/2025,after 8/1/2025,40,"starting at $1,650 per month",Bachelors,none,"Kennesaw State University (Kennesaw, Georgia)",Graduate Opportunities,"The Preisser Lab in the Department of Ecology, Evolution, and Organismal Biology at
Kennesaw State University (KSU) is recruiting a student to pursue a Master of Science in
Integrative Biology (MSIB) beginning in Fall 2025. The student will be co-advised by Dr.
Whitney Preisser (KSU) and Dr. Rachel Welicky (Neumann University), with the work
occurring at KSU.

Project Description
The Preisser Lab is enthusiastically seeking a graduate student who is interested in exploring
how the diversity and abundance of parasites correlates with the trophic position of their fish
host. The selected student will computationally investigate this relationship by developing
research questions that support their interests and testing these questions using previously
published datasets that include historical data on parasite burden, fish trophic position, and
climate. The selected student should be interested in leveraging statistical analyses in R to
answer ecological questions and should have some foundational background in statistics. Having
working experience of using R is a bonus, but not necessary. The selected student will also have
opportunities to be trained in parasitological methods and fieldwork, to support a robust graduate
experience.

General Information
Graduate students in the MSIB program are fully funded through a combination of teaching and
research assistantships.
To learn more about the MSIB program, please visit here.

Application and Deadline
To apply, please send me 1) a cover letter explaining your research interests, your previous
relevant experience (classes, research and/or work), why you want to pursue a graduate degree,
and any additional information you’d like to provide; 2) your CV; and 3) contact information for
two references.
Please email all materials to me by February 28, 2025. I will conduct interviews in March.

Contact Information
Please feel free to contact me with any questions about this opportunity.
Dr. Whitney Preisser
Email: wpreisse@kennesaw.edu",Not provided,wpreisse@kennesaw.edu
Biology Master of Science Graduate Student Wanted!,The University of Texas at Tyler (State),https://jobs.rwfm.tamu.edu/view-job/?id=103170,03/01/2025,01/24/2025,after 8/11/2025,30 - 40,"starting at $21,000 per year",Bachelors,at least 1 year,"3900 University Blvd. (Tyler, Texas)",Graduate Opportunities,"The laboratory of Dr. Matthew Greenwold at the University of Texas at Tyler is seeking a highly motivated graduate students (MS level) to start this Fall 2024 semester. Specifically, I’m recruiting a student to perform comparative analyses of amphibian genomes. 

For more information on Dr. Greenwold and the lab; please visit: https://www.greenwoldlab.com/ 

Interested applicants are encouraged to email Dr. Matthew Greenwold (mgreenwold@uttyler.edu) with a brief cover letter, CV, and if available, unofficial transcripts by March 1st 2025.*

*Please be aware that official applications are due April 1st and must be submitted online through the university website and to the biology graduate student coordinator. 

Support: Graduate Students will be supported by a combination of Research and Teaching Assistantships. Tuition remission scholarship will be provided. Accepted students can expect support for two years. Teaching assistants in our program typically teach two introductory biology or upper division laboratory courses (e.g., ecology or entomology). 

Qualifications: Bachelor’s degree with at least a GPA of 3.25. The GRE is not required. 

Preferred Qualifications: Bioinformatics experience especially with genome assembly, annotation, and comparative genome analyses. 

Start Date: Fall 2025 (fall semester). Official application deadline: April 1st, 2025. 

Location: Tyler is located 90 miles east of Dallas in the scenic Piney Woods area of East Texas. Tyler is the cultural center of East Texas, a region with over one million people, and boasts many amenities such as museums, a planetarium, a ballet, a symphony orchestra, and a renowned performing arts center. 

The University of Texas at Tyler is part of the prestigious University of Texas System that includes 13 institutions located throughout the state. Founded in 1971, UT Tyler today enrolls 10,000 students and consists of five colleges and three schools. Read about UT Tyler's 50th anniversary. 

Our beautiful Tyler campus features more than 200 acres nestled along a lake and surrounded by thick pine and oak forests, providing a picturesque location for study and recreation. We also offer instructional sites at The University of Texas Health Science Center at Tyler and in Palestine, Longview and Houston. 

With more than 80 bachelor's, master's and doctoral degree programs offered, UT Tyler provides a wealth of learning opportunities and dynamic programs. 

Most UT Tyler classes are taught by professors, not teaching assistants, and our average student-professor ratio of 22:1 is a definite advantage over larger, less intimate campuses. Our learning environment is truly student-centered: We offer private university quality at affordable public university prices. 

We encourage you to visit campus and see for yourself why UT Tyler is where you’ll feel at home—and find your best path. 

·         UT Tyler students represent 167 Texas counties, 45 states and 60+ nations. 

UT Tyler is a young, fast-growing university offering outstanding facilities such as the renowned R. Don Cowan Fine and Performing Arts Center, a centerpiece of cultural entertainment in the East Texas region, and the Herrington Patriot Center, our state-of-the-art fitness center.",Not provided,mgreenwold@uttyler.edu
Take Action: Final Call for MS in Environmental Conservation Applications!,"University of Wisconsin-Madison, Nelson Institute for Environmental Studies (State)",https://jobs.rwfm.tamu.edu/view-job/?id=97680,05/01/2025,01/21/2025,after 6/2/2025,30 - 40,Commensurate / Negotiable,Bachelors,none,"Madison, Wisconsin",Graduate Opportunities,"The Environmental Conservation (EC) and Environmental Observation and Informatics (EOI) MS degrees from the Nelson Institute for Environmental Studies at the University of Wisconsin-Madison, is your key to making an impact and opening new doors to job opportunities. Our MS program does more than just prepare you for a job, they create leaders in the field.

Why Choose the EC/EOI Program?
Accelerated: Complete your degree in just 15 months with a 32-credit curriculum that accelerates your career journey without compromising academic excellence.
Real-life Experience: Tailored coursework culminating in a final hands-on project with a professional organization. Through individual planning sessions, you’ll partner with your ideal organization where you get to apply your conservation skills and knowledge. Partnerships from last summer include:
The Nature Conservancy, Organic Valley, Nasa Develop, USDA Agricultural Research Service, Sea Grant, Portland Parks and Recreation, The International Crane Foundation, and more! 
Collaborative: From day one, you’ll build lasting relationships with renowned faculty, advisors, and peers. Our cohort-based MS program is designed to foster collaboration, leading to higher engagement and better learning. 
Affordability: Receive top-tier environmental education with strong program support, all at a more affordable tuition compared to other competitive programs.

Who Should Apply? 
We welcome applicants from all disciplines and professional backgrounds, whether you are just beginning your career or are seeking to advance your expertise.

Ready to Take the Next Step? 
Visit our website for more details on how to apply or contact us if you want to learn more about being part of a professional community of environmental leaders. 
Final Application Deadlines:
International Applicants: February 1
Domestic Applicants: May 1",Not provided,mkautzer@wisc.edu
