location,index
United States,100.0
Alabama,90.0
Alaska,101.7
Arizona,101.1
Arkansas,86.5
California,112.6
Colorado,101.4
Connecticut,103.7
Delaware,99.3
"District of Columbia",110.8
Florida,103.5
Georgia,96.7
Hawaii,108.6
Idaho,91.4
Illinois,98.9
Indiana,92.2
Iowa,88.8
Kansas,90.0
Kentucky,90.5
Louisiana,88.3
Maine,97.1
Maryland,104.0
Massachusetts,108.2
Michigan,94.2
Minnesota,98.4
Mississippi,87.3
Missouri,91.8
Montana,90.2
Nebraska,90.4
Nevada,97.0
"New Hampshire",105.3
"New Jersey",108.9
"New Mexico",90.4
"New York",107.6
"North Carolina",94.1
"North Dakota",88.6
Ohio,91.8
Oklahoma,88.3
Oregon,104.7
Pennsylvania,97.5
"Rhode Island",101.4
"South Carolina",93.2
"South Dakota",88.1
Tennessee,92.5
Texas,97.2
Utah,95.0
Vermont,96.6
Virginia,100.7
Washington,108.6
"West Virginia",89.8
Wisconsin,93.1
Wyoming,90.8
