title,organization,location,salary,starting_date,published_date,tags,discipline_primary,discipline_secondary,salary_lincoln_adjusted,cost_of_living_index,geographic_region,first_seen,last_updated,position_id,description,is_graduate_position,position_type,grad_confidence
Continuing Education - Master's degrees for Natural Resources Professionals,Frostburg State University (State),"Frostburg State University (Frostburg, Maryland)","starting at $2,500 per year",between 8/11/2025 and 8/25/2025,01/17/2025,Graduate Opportunities,Other,,2500.0,1.0,Southeast,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,-7828352242374938719,,,,
Master Naturalist,Swan Valley Connections (Private),"Condon, Montana",none,after 8/16/2025,11/12/2024,"Graduate Opportunities, Undergraduate Opportunities",Other,,0.0,1.0,West,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,-8639917782831855211,,,,
Masters Thesis opportunity working with the Rio Grande Cooter,Eastern New Mexico Unviersity (Federal),"1500 South Avenue K (Portales, New Mexico)","up to $20,000 per year",after 8/15/2025,06/17/2025,"Graduate Opportunities, Grant",Other,,20000.0,1.0,Southwest,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,-708352882029454111,,,,
Master’s Positions in Environmental Sciences at University of South Alabama,University of South Alabama (State),"Mobile, Alabama",Commensurate / Negotiable,after 8/17/2025,06/16/2025,Graduate Opportunities,Other,,0.0,0.8,Southeast,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,-4039567028669575906,,,,
Master in Environmental Management Degree,Western Colorado University (State),"Gunnison, Colorado | remote work allowed",none,after 7/1/2025,10/01/2024,Graduate Opportunities,Human Dimensions,,0.0,1.1,West,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,972812676261153864,,,,
PhD and MS Positions in Water Security and Sustainability,"WESA Lab, Texas A&M University - Corpus Christi (State)","6300 Ocean Drive (Corpus Christi, Texas)",Commensurate / Negotiable,after 8/25/2025,06/03/2025,Graduate Opportunities,Quantitative Ecology,,0.0,0.95,Southwest,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,1575978415477481960,,,,
PhD Research Assistantship - Feral Swine Ecology and Management,Texas Tech University (State),"Lubbock, Texas","starting at $22,000 per year",after 9/1/2025,05/30/2025,Graduate Opportunities,Human Dimensions,,23157.894736842107,0.95,Southwest,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,705825761904128026,,,,
"*Quebec, Canada* Funded MSc and PhD opportunities in Ecology",University of Sherbrooke (Private),"Sherbrooke, Canada","$20,000 to $25,000 per year",between 5/1/2026 and 9/1/2026,05/21/2025,Graduate Opportunities,Other,,20000.0,1.0,International,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,7494400350057765649,,,,
PhD Graduate Research Assistantship: Virtual Fence – Range Cattle,University of Idaho (State),"Salmon, Idaho","starting at $31,000 per year",between 5/30/2025 and 8/18/2025,05/05/2025,Graduate Opportunities,Other,,31000.0,1.0,West,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,-781924431114748130,,,,
"PhD Student, Movement Ecology of Midcontinent Mallards, Arkansas",University of Arkansas Monticello (State),"110 University Court (Monticello, Arkansas)","$30,000 to $32,500 per year",between 8/18/2025 and 1/12/2026,04/04/2025,Graduate Opportunities,Other,,30000.0,1.0,Southeast,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,5715339822850802144,,,,
"PhD Graduate Assistantship, Avian Community and Population Responses to Northern Bobwhite Management",Tarleton State University (State),"Box T-0050 (Stephenville, Texas)","starting at $30,000 per year",after 8/15/2025,03/27/2025,Graduate Opportunities,Wildlife Ecology,Ecosystem Ecology,31578.947368421053,0.95,Southwest,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,6507445663844455489,,,,
PhD Assistantship - Fisheries Science,"Department of Natural Resource Management, South Dakota State University (State)","200 US-14 BYP, Brookings, SD 57006, USA (Brookings, South Dakota)","$29,000 to $31,000 per year",between 5/20/2025 and 7/21/2025,02/03/2025,Graduate Opportunities,Fisheries Science,Human Dimensions,29000.0,1.0,Midwest,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,-4656911514846840979,,,,
Graduate Student Position - seasonal bat health dynamics at Auburn University,Auburn University (State),"College of Forestry, Wildlife and Environment (Auburn, Alabama)","$23,500 to $26,500 per year",between 1/1/2026 and 1/7/2026,05/21/2025,Graduate Opportunities,Other,,29375.0,0.8,Southeast,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,6473230833390726525,,,,
Graduate Student Work Study Positions,Antioch University (Private),remote work allowed,starting at $16 per hour,after 8/25/2025,06/16/2025,Graduate Opportunities,Other,,0.0,1.0,Remote/Multiple,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,-1615562751109065824,,,,
"M.S. (Biology) Graduate Research Assistantship Positions in Herpetology, Spatial Ecology, and Behavioral Ecology",West Texas A&M University (State),"West Texas A&M University (Canyon, Texas)","$26,159 to $27,794 per year",after 1/1/2026,06/12/2025,Graduate Opportunities,Wildlife Ecology,Quantitative Ecology,27535.789473684214,0.95,Southwest,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,5650856843870440111,,,,
M.S. Graduate Assistantship – Deer population demographics prior to elk reintroduction,Bemidji State University (State),"Bemidji, Minnesota","starting at $28,000 per year",after 8/20/2025,06/10/2025,Graduate Opportunities,Wildlife Ecology,Conservation Biology,28000.0,1.0,Midwest,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,-7436328206470514011,,,,
MS - Assistantship - Migratory Game Bird Wintering Habitat Assessment - Graduate Research Assistant II,Sul Ross State University (State),"Alpine, Texas","$1,500 per month",after 8/15/2025,06/10/2025,Graduate Opportunities,Wildlife Ecology,,1578.9473684210527,0.95,Southwest,2025-06-20T10:58:29.978677,2025-06-20T10:58:29.978677,6382553901965690876,,,,
